,label,transcript
1961,F04_B2_CW70_M6,more
1962,M14_B3_LB_M8,bro
1963,CM13_B2_C14_M5,cut
1964,M14_B3_C10_M5,line
1965,M14_B3_LP_M8,papa
1966,M14_B1_LK_M3,kila
1967,CM13_B1_CW18_M8,his
1968,CM13_B3_LN_M5,november
1969,CM13_B2_CW56_M6,then
1970,CM13_B1_UW93_M8,monkey
1971,CM13_B3_CW43_M3,each
1972,F04_B3_LU_M8,NA
1973,CM13_B1_UW51_M5,python
1974,F04_B3_UW12_M8,NA
1975,M14_B1_C15_M6,copy
1976,CM13_B1_UW47_M3,overshadowed
1977,CM13_B1_D2_M7,2
1978,CM13_B1_CW82_M5,water
1979,CM13_B2_C6_M7,escape
1980,F04_B3_UW54_M5,roly poly
1981,CM13_B2_CW27_M6,add
1982,M16_B2_LX_M7,actuary
1983,F04_B3_UW10_M5,iroquois
1984,F04_B1_CW79_M6,my
1985,CM13_B2_UW71_M3,quail
1986,CM13_B2_UW19_M3,adhesion
1987,CM13_B2_UW34_M6,astounded
1988,F04_B2_CW72_M5,go
1989,M14_B1_LN_M3,november
1990,CM13_B1_UW27_M7,bogey's
1991,M14_B2_C12_M7,sentence
1992,CM13_B3_UW53_M3,professionals
1993,M14_B3_UW15_M7,missouri
1994,M14_B2_UW13_M6,unusual
1995,CM13_B2_CW57_M6,them
1996,M14_B3_CW77_M3,could
1997,F04_B1_CW72_M3,go
1998,M14_B2_UW11_M5,supreme
1999,F04_B3_CW79_M3,my
2000,CM13_B2_UW48_M6,he took
2001,M14_B3_CW93_M5,in
2002,CM13_B2_UW48_M5,he took
2003,M14_B3_UW81_M3,sandpipers
2004,F04_B2_UW57_M3,boulevard
2005,F04_B3_UW69_M3,agoraphobia
2006,CM13_B1_CW90_M3,long
2007,CM13_B1_UW18_M5,rejoinder
2008,F04_B2_UW40_M6,NA
2009,M16_B3_CW100_M3,NA
2010,M14_B2_UW46_M5,van gaal
2011,CM13_B3_CW89_M6,find
2012,CM13_B1_UW62_M6,chatterbox
2013,CM13_B3_UW33_M7,swoon
2014,CM13_B2_C3_M3,delete
2015,F04_B3_CW28_M7,bye
2016,CM13_B1_CW4_M5,NA
2017,CM13_B3_UW72_M8,homeopathy
2018,CM13_B1_UW22_M5,adapt
2019,CM13_B2_CW83_M3,ben
2020,M14_B2_LC_M3,charles
2021,M16_B1_C5_M5,trav
2022,M14_B2_CW82_M7,water
2023,F04_B2_UW69_M5,tried
2024,F04_B3_LW_M8,50
2025,M14_B3_CW77_M7,good
2026,CM13_B2_UW82_M5,watch
2027,F04_B2_UW57_M6,boulevard
2028,CM13_B3_CW41_M7,use
2029,CM13_B3_CW86_M6,oil
2030,CM13_B2_CW96_M7,made
2031,CM13_B1_C2_M3,backspace
2032,CM13_B1_UW8_M6,bushels
2033,M16_B2_CW62_M6,oregon
2034,F04_B2_UW13_M6,usual
2035,CM13_B3_UW43_M3,designate
2036,CM13_B2_D6_M8,6
2037,M16_B2_UW3_M5,new ny
2038,M14_B2_CW24_M6,have
2039,M14_B3_CW32_M8,what
2040,M14_B2_LN_M7,november
2041,M14_B1_CW5_M5,2
2042,M14_B3_CW40_M5,bear
2043,CM13_B1_UW73_M8,goulash
2044,M14_B3_CW67_M8,time
2045,CM13_B1_UW6_M5,supervision
2046,M14_B2_C2_M7,backspace
2047,F04_B3_UW19_M5,now year
2048,CM13_B3_CW34_M8,where
2049,CM13_B3_CW66_M8,into
2050,M16_B1_CW35_M3,wii
2051,M14_B2_LL_M7,lime
2052,CM13_B3_LM_M5,mike
2053,CM13_B2_UW82_M3,watch
2054,F04_B3_CW91_M6,NA
2055,CM13_B1_UW84_M6,window
2056,M14_B3_CW85_M5,who
2057,CM13_B2_CW10_M7,it
2058,F04_B3_UW21_M8,pogs
2059,M14_B1_CW12_M8,was
2060,CM13_B2_C8_M8,control
2061,CM13_B3_CW33_M3,all
2062,CM13_B2_D4_M3,4
2063,CM13_B3_UW59_M6,a while
2064,M14_B1_UW71_M3,gigantic
2065,CM13_B3_CW74_M5,number
2066,CM13_B1_LH_M5,hotel
2067,M16_B3_C1_M8,NA
2068,CM13_B1_CW46_M7,do
2069,CM13_B2_CW77_M8,could
2070,F04_B3_CW61_M5,NA
2071,F04_B1_UW69_M8,employment
2072,CM13_B2_D3_M8,3
2073,CM13_B2_UW77_M7,dispossess
2074,CM13_B2_CW10_M6,it
2075,M14_B1_UW69_M8,employment
2076,CM13_B3_CW82_M3,water
2077,CM13_B1_C19_M6,right
2078,M16_B2_UW3_M6,new england
2079,F04_B2_D5_M6,5
2080,F04_B3_CW99_M3,NA
2081,M16_B3_CW5_M6,NA
2082,M16_B3_CW35_M5,NA
2083,CM13_B2_CW61_M7,her
2084,CM13_B1_CW59_M8,so
2085,CM13_B2_UW41_M6,battlefield
2086,CM13_B2_C4_M7,enter
2087,CM13_B2_LZ_M3,zulu
2088,F04_B2_UW3_M7,nuremberg
2089,CM13_B1_UW15_M6,merchandise
2090,CM13_B2_UW76_M8,displeasure
2091,F04_B2_UW36_M8,authoritative
2092,CM13_B3_CW1_M7,the
2093,CM13_B3_UW85_M8,flowers
2094,M14_B3_UW35_M3,9
2095,CM13_B2_CW40_M3,bear
2096,CM13_B1_UW49_M7,pow wow
2097,CM13_B1_UW6_M8,supervision
2098,CM13_B2_LJ_M5,julian
2099,F04_B2_C19_M6,right
2100,M16_B1_UW34_M8,NA
2101,M16_B3_CW26_M6,or
2102,CM13_B2_UW32_M6,apprehend
2103,M16_B1_CW55_M6,NA
2104,CM13_B1_CW98_M7,part
2105,CM13_B2_CW78_M8,people
2106,F04_B2_UW55_M5,both
2107,CM13_B3_CW4_M8,NA
2108,M16_B2_UW30_M3,apothecary
2109,M16_B3_UW42_M8,kingston
2110,M16_B2_UW85_M5,walsh's
2111,CM13_B2_C18_M5,left
2112,CM13_B3_CW53_M8,about
2113,CM13_B3_UW85_M5,flowers
2114,CM13_B2_CW84_M6,call
2115,CM13_B2_CW43_M8,each
2116,CM13_B3_C18_M5,left
2117,M14_B3_CW92_M7,dang
2118,CM13_B2_CW89_M6,find
2119,M16_B1_CW18_M5,NA
2120,F04_B2_UW2_M8,needlepoint
2121,CM13_B3_CW97_M6,mets
2122,F04_B3_CW56_M5,then
2123,CM13_B1_C11_M6,paragraph
2124,CM13_B3_CW62_M8,wood
2125,CM13_B1_UW85_M5,telephone
2126,F04_B3_UW48_M6,NA
2127,CM13_B1_UW61_M7,barros
2128,M14_B3_UW80_M6,praiseworthy
2129,CM13_B2_LK_M7,kilo
2130,CM13_B1_C9_M3,shift
2131,CM13_B2_UW3_M6,nuremberg
2132,F04_B2_UW25_M7,aloof
2133,M16_B1_UW23_M7,oreo by on jessie
2134,CM13_B2_CW30_M6,but
2135,F04_B3_CW75_M8,no
2136,CM13_B1_UW11_M6,gentlewoman
2137,F04_B1_CW60_M6,dumb
2138,M14_B2_UW67_M3,catholic
2139,M16_B3_UW22_M7,quotes
2140,M16_B1_D6_M8,NA
2141,CM13_B2_UW86_M3,lamp
2142,CM13_B2_CW34_M8,where
2143,CM13_B1_UW98_M3,crack
2144,M16_B3_CW86_M3,oil
2145,F04_B3_UW14_M7,lawyer
2146,F04_B1_UW78_M5,interwoven
2147,F04_B1_CW26_M8,or
2148,M14_B2_UW78_M7,dowry
2149,CM13_B3_UW47_M3,berserker
2150,M16_B1_UW54_M8,NA
2151,M16_B1_CW50_M3,well
2152,F04_B3_CW2_M8,NA
2153,M16_B3_CW92_M3,NA
2154,CM13_B3_LZ_M8,zeeland
2155,CM13_B3_UW71_M7,gustav
2156,CM13_B3_CW77_M7,could
2157,M14_B1_CW77_M5,good
2158,CM13_B1_UW39_M3,fowler
2159,CM13_B2_UW84_M3,swimming
2160,CM13_B2_UW99_M3,finger
2161,CM13_B3_CW62_M6,wood
2162,CM13_B3_UW32_M5,stringing
2163,CM13_B2_LY_M3,yankee
2164,M16_B1_UW43_M8,NA
2165,M16_B2_CW21_M7,NA
2166,F04_B3_C17_M5,downward
2167,CM13_B3_C19_M7,right
2168,M16_B3_C7_M5,NA
2169,M16_B1_UW94_M6,NA
2170,F04_B3_C7_M6,NA
2171,CM13_B2_UW32_M7,apprehend
2172,M16_B3_CW7_M7,NA
2173,M16_B3_UW21_M8,kenosha
2174,F04_B2_LU_M6,you know who i am
2175,M16_B1_CW14_M7,NA
2176,F04_B2_CW19_M5,mets
2177,CM13_B2_UW76_M6,displeasure
2178,CM13_B2_LB_M5,bravo
2179,M14_B2_UW15_M3,abbreviated
2180,M16_B2_UW44_M3,NA
2181,CM13_B3_CW94_M8,get
2182,M16_B2_CW27_M7,NA
2183,CM13_B2_CW97_M8,mets
2184,M16_B2_UW45_M6,movie room
2185,M14_B1_D8_M8,8
2186,M16_B2_UW61_M7,buffoon
2187,CM13_B1_CW98_M5,part
2188,M14_B2_UW30_M8,apothecary
2189,CM13_B2_CW46_M6,do
2190,CM13_B2_UW36_M3,authoritative
2191,M16_B2_UW38_M5,NA
2192,M16_B3_UW76_M3,marsden
2193,CM13_B1_UW11_M7,gentlewoman
2194,M14_B2_UW51_M7,like
2195,CM13_B1_D8_M6,8
2196,F04_B1_C17_M8,guy wire
2197,CM13_B2_LJ_M3,julian
2198,F04_B1_CW100_M6,yeah
2199,CM13_B2_CW9_M7,that
2200,CM13_B2_CW6_M5,in
2201,F04_B3_UW42_M3,message yusef
2202,F04_B2_UW20_M6,adjacent
2203,M16_B2_CW82_M5,NA
2204,CM13_B3_UW97_M5,watch
2205,M14_B3_UW20_M3,NA
2206,M14_B2_LF_M3,foxtrot
2207,M16_B2_CW77_M6,NA
2208,CM13_B3_CW37_M3,your
2209,CM13_B2_C12_M5,sentence
2210,M14_B3_CW38_M7,can
2211,M14_B3_UW56_M7,gun safe
2212,M14_B2_CW47_M7,how
2213,M14_B2_CW30_M5,but
2214,F04_B1_CW3_M5,and
2215,M14_B3_CW75_M6,no
2216,F04_B3_CW29_M6,word
2217,CM13_B3_LG_M5,golf
2218,M14_B3_CW66_M8,into
2219,M14_B1_CW53_M6,about
2220,CM13_B3_CW26_M8,or
2221,CM13_B2_CW37_M5,your
2222,F04_B3_UW60_M8,bobby
2223,M16_B3_UW26_M6,NA
2224,CM13_B2_CW46_M3,dude
2225,F04_B3_LM_M8,mike
2226,M14_B1_CW45_M7,she
2227,M16_B2_CW9_M7,NA
2228,CM13_B2_CW24_M5,have
2229,CM13_B2_D9_M8,9
2230,CM13_B3_UW11_M8,jowls
2231,CM13_B2_D6_M7,6
2232,M14_B1_CW76_M8,way
2233,F04_B2_CW88_M7,now
2234,CM13_B2_LI_M8,india
2235,CM13_B1_D4_M8,4
2236,CM13_B2_UW67_M6,catholic
2237,M16_B3_CW30_M7,but
2238,CM13_B1_CW65_M3,kim
2239,M14_B2_UW1_M3,mouth
2240,M14_B2_UW14_M5,voyage
2241,M14_B3_UW16_M6,moonshine
2242,M16_B3_UW81_M8,NA
2243,CM13_B3_UW65_M5,convenience
2244,CM13_B3_UW21_M5,polisher
2245,F04_B2_CW9_M5,that
2246,CM13_B3_CW14_M8,on
2247,CM13_B1_UW7_M5,able-bodied
2248,M14_B1_UW18_M8,rejoinder
2249,M16_B2_CW65_M7,him
2250,M16_B2_CW62_M7,oregon
2251,CM13_B1_CW65_M8,kim
2252,M16_B1_UW68_M3,dissatisfaction
2253,F04_B1_CW6_M7,in
2254,CM13_B1_CW20_M6,bye
2255,M14_B3_CW9_M8,NA
2256,M16_B3_UW60_M8,bahama breeze
2257,CM13_B3_UW92_M6,crying
2258,M14_B1_CW36_M6,when
2259,F04_B3_UW96_M3,ryder
2260,CM13_B1_CW12_M7,was
2261,CM13_B3_CW49_M7,if
2262,CM13_B2_CW17_M8,with
2263,CM13_B2_UW74_M5,david
2264,M16_B3_CW80_M3,NA
2265,F04_B1_UW20_M5,voucher play
2266,M16_B1_CW2_M8,NA
2267,M16_B2_CW22_M7,good
2268,F04_B3_CW55_M6,men
2269,CM13_B1_LZ_M8,zulu
2270,F04_B1_UW20_M3,voucher play
2271,CM13_B2_UW7_M7,schoolyard
2272,CM13_B3_C3_M3,delete
2273,M16_B2_UW52_M3,bluebells
2274,CM13_B1_C16_M5,upward
2275,M14_B3_UW18_M6,nodule
2276,M14_B2_CW64_M8,like
2277,CM13_B3_CW2_M3,NA
2278,M16_B3_CW51_M6,NA
2279,M14_B2_CW80_M7,fan
2280,CM13_B3_UW20_M5,NA
2281,F04_B1_CW30_M3,what
2282,M16_B2_UW99_M5,tanger
2283,M16_B1_CW86_M7,oil
2284,M14_B3_LA_M8,alpha
2285,M16_B2_UW51_M3,NA
2286,CM13_B1_CW34_M6,where
2287,F04_B3_UW26_M8,rebound
2288,CM13_B2_CW9_M5,that
2289,F04_B2_CW64_M7,like
2290,CM13_B1_C10_M7,line
2291,F04_B2_LT_M3,chattanooga
2292,CM13_B3_CW62_M3,wood
2293,M16_B3_CW100_M5,NA
2294,F04_B2_LY_M5,anki
2295,F04_B1_UW1_M3,naturalization
2296,CM13_B1_UW55_M3,annoyed
2297,CM13_B3_D6_M5,6
2298,M16_B2_CW6_M6,in
2299,F04_B2_CW60_M6,NA
2300,M14_B2_C13_M3,paste
2301,M14_B3_UW71_M6,gustav
2302,F04_B3_CW66_M3,into
2303,M16_B1_CW20_M5,i
2304,CM13_B1_UW66_M8,cobblestones
2305,M16_B2_UW26_M3,elmo
2306,M16_B3_UW86_M5,brush
2307,CM13_B2_UW99_M8,finger
2308,F04_B3_UW55_M3,35
2309,M16_B1_CW71_M8,right
2310,M16_B3_CW71_M8,fluorite
2311,CM13_B2_CW2_M7,of
2312,M14_B3_C1_M3,a man
2313,CM13_B2_UW96_M7,bathtub
2314,CM13_B3_LP_M5,papa
2315,CM13_B1_UW12_M5,pickled
2316,F04_B3_LI_M8,india
2317,M16_B2_UW46_M6,NA
2318,CM13_B3_UW92_M3,crying
2319,F04_B1_CW62_M8,wood
2320,F04_B3_CW100_M5,yes
2321,CM13_B2_CW14_M6,on
2322,M14_B2_UW92_M8,fishing
2323,CM13_B3_UW33_M3,swoon
2324,F04_B1_UW34_M5,avocet
2325,M16_B3_LP_M3,NA
2326,CM13_B3_UW88_M5,frog
2327,CM13_B1_UW58_M3,ensure
2328,M16_B3_CW69_M7,NA
2329,M14_B3_C5_M3,tab
2330,F04_B1_UW62_M5,chatterbox
2331,CM13_B3_UW91_M6,balloons
2332,CM13_B3_LK_M6,kilo
2333,CM13_B1_UW89_M6,girl
2334,CM13_B3_C7_M3,alt
2335,CM13_B1_CW23_M3,this
2336,M16_B2_D8_M7,8
2337,CM13_B3_UW77_M7,nausea
2338,CM13_B3_UW99_M7,away
2339,CM13_B3_UW88_M8,frog
2340,CM13_B3_CW75_M8,no
2341,CM13_B2_UW85_M6,watches
2342,F04_B1_CW48_M5,mirror
2343,M16_B1_C3_M5,delete
2344,CM13_B3_C8_M6,control
2345,F04_B1_UW57_M8,asia
2346,CM13_B2_C13_M8,paste
2347,F04_B1_C15_M6,copy
2348,CM13_B3_CW68_M8,has
2349,M16_B1_LP_M5,papa
2350,CM13_B3_UW65_M7,convenience
2351,CM13_B3_UW7_M3,hanger
2352,M16_B1_LX_M6,NA
2353,M16_B3_CW67_M5,hon
2354,F04_B1_CW22_M5,b
2355,CM13_B3_CW24_M8,have
2356,CM13_B1_UW54_M7,amethyst
2357,F04_B1_CW81_M8,first
2358,CM13_B1_LR_M6,romeo
2359,M14_B1_LV_M6,victor
2360,M16_B2_UW7_M5,put yours
2361,M16_B2_UW54_M5,NA
2362,CM13_B1_LH_M8,hotel
2363,M14_B2_UW36_M6,authoritative
2364,M14_B1_C18_M3,left
2365,CM13_B1_D9_M5,9
2366,M14_B3_CW61_M7,NA
2367,M14_B1_D1_M5,1
2368,CM13_B1_CW15_M6,bar
2369,CM13_B2_UW51_M3,bloodshed
2370,CM13_B2_UW83_M8,plane
2371,M16_B3_UW58_M8,afterthought
2372,CM13_B1_UW86_M7,NA
2373,M14_B2_UW58_M8,boyhood
2374,CM13_B2_C4_M3,enter
2375,CM13_B1_C5_M8,tab
2376,CM13_B1_UW53_M5,advice
2377,M16_B3_C12_M3,samsung
2378,F04_B1_C13_M8,paint
2379,M16_B1_CW22_M5,b
2380,F04_B1_CW11_M7,he
2381,M14_B3_CW32_M6,what
2382,CM13_B1_UW65_M7,chowder
2383,F04_B3_LY_M3,yankee
2384,CM13_B2_C18_M6,left
2385,M14_B3_C18_M3,left
2386,M16_B2_CW60_M7,so
2387,CM13_B3_CW37_M8,your
2388,M16_B2_LS_M7,tiara
2389,CM13_B3_UW39_M3,wherewithal
2390,M16_B1_CW99_M8,NA
2391,M16_B1_CW26_M7,or
2392,CM13_B2_UW87_M3,car
2393,M16_B3_CW23_M6,NA
2394,M14_B2_C12_M3,sentence
2395,M16_B3_UW47_M3,ruth chris
2396,M14_B1_CW46_M8,do
2397,F04_B2_UW59_M5,royal
2398,CM13_B3_UW53_M8,professionals
2399,CM13_B1_CW83_M7,ben
2400,F04_B1_CW74_M3,number
2401,M16_B2_UW8_M5,NA
2402,CM13_B1_UW49_M8,pow wow
2403,CM13_B1_UW58_M7,ensure
2404,CM13_B2_UW86_M7,lamp
2405,F04_B1_CW100_M3,yeah
2406,M16_B3_UW64_M6,commercial
2407,CM13_B2_LA_M8,alpha
2408,M14_B3_CW18_M3,anise
2409,CM13_B1_UW93_M5,monkey
2410,M16_B1_CW87_M8,NA
2411,CM13_B1_UW65_M3,chowder
2412,M14_B1_D0_M8,0
2413,CM13_B1_UW40_M6,haha
2414,CM13_B3_LH_M7,hotel
2415,CM13_B3_UW22_M5,protege
2416,M16_B3_UW80_M5,newport weather
2417,F04_B2_CW90_M3,long
2418,CM13_B1_CW80_M8,van
2419,F04_B3_CW26_M6,NA
2420,M14_B2_UW21_M5,advantageous
2421,M14_B3_UW49_M3,demolish
2422,CM13_B3_UW34_M3,sympathize
2423,M14_B2_UW89_M6,rabbit
2424,CM13_B1_UW100_M6,vacuum
2425,CM13_B2_CW35_M3,wii
2426,F04_B3_CW57_M5,them
2427,CM13_B3_CW14_M3,on
2428,M16_B1_CW9_M6,NA
2429,CM13_B3_UW83_M8,jumping
2430,CM13_B3_UW100_M8,crayon
2431,M16_B1_UW11_M5,NA
2432,CM13_B1_C18_M7,left
2433,M16_B2_UW21_M8,i didn't take
2434,M14_B2_CW89_M6,find
2435,M14_B2_UW41_M8,battlefield
2436,M14_B3_LD_M6,delta
2437,M14_B2_CW37_M6,your
2438,CM13_B3_UW86_M5,brush
2439,CM13_B1_UW26_M8,behavior
2440,M16_B1_D6_M7,styx
2441,CM13_B3_CW74_M6,number
2442,M14_B3_C6_M6,escape
2443,CM13_B1_UW40_M7,haha
2444,M16_B1_CW59_M3,show
2445,M16_B2_CW74_M5,NA
2446,F04_B1_CW88_M8,now
2447,M16_B2_LE_M6,acute
2448,F04_B1_CW87_M3,it's
2449,CM13_B1_UW15_M7,merchandise
2450,CM13_B2_UW90_M5,parrot
2451,CM13_B1_UW80_M6,massage
2452,CM13_B3_C18_M7,left
2453,F04_B1_UW10_M6,entertainer
2454,M14_B1_CW31_M6,not
2455,CM13_B1_UW47_M7,overshadowed
2456,M16_B3_UW74_M3,NA
2457,CM13_B3_UW13_M5,jerry's
2458,CM13_B3_LY_M3,yankee
2459,CM13_B3_UW64_M3,commercial
2460,CM13_B1_LX_M6,x-ray
2461,CM13_B3_UW55_M3,35
2462,CM13_B3_CW32_M8,what
2463,M14_B1_UW36_M8,executive
2464,CM13_B2_C4_M8,enter
2465,M16_B1_LC_M8,charlie
2466,M16_B3_UW84_M6,NA
2467,M16_B3_UW37_M3,toys
2468,CM13_B2_CW100_M6,yes
2469,CM13_B1_CW29_M6,word
2470,CM13_B2_UW6_M7,roof
2471,M14_B3_UW21_M6,flash share
2472,F04_B1_UW72_M5,NA
2473,CM13_B2_CW3_M3,and
2474,F04_B1_LX_M7,x-ray
2475,F04_B1_CW7_M8,is
2476,CM13_B3_CW18_M5,his
2477,CM13_B3_C1_M3,command
2478,M16_B2_CW35_M8,NA
2479,M14_B1_C4_M7,enter
2480,CM13_B3_UW66_M8,cushing
2481,M16_B1_CW48_M5,NA
2482,CM13_B1_D9_M6,9
2483,F04_B1_CW92_M7,gay
2484,CM13_B2_CW55_M5,many
2485,CM13_B3_UW82_M6,soothing
2486,M14_B1_UW96_M8,scissors
2487,CM13_B3_CW65_M5,kim
2488,M16_B2_UW11_M7,NA
2489,F04_B2_UW14_M3,voyage
2490,CM13_B1_LP_M3,papa
2491,M16_B3_UW3_M5,NA
2492,CM13_B2_CW28_M3,bye
2493,M14_B2_UW42_M5,battlements
2494,CM13_B2_CW54_M6,out
2495,CM13_B1_LM_M7,mike
2496,CM13_B2_UW17_M7,absolve
2497,M14_B2_CW86_M8,well
2498,CM13_B3_CW17_M7,with
2499,CM13_B1_UW36_M3,exactitude
2500,M14_B1_LX_M8,x-ray
2501,M16_B3_UW9_M6,NA
2502,CM13_B2_UW45_M3,ali green
2503,CM13_B3_UW36_M7,val
2504,M16_B2_UW78_M8,NA
2505,F04_B2_UW48_M7,but chuck
2506,CM13_B3_UW71_M5,gustav
2507,M14_B1_LF_M7,foxtrot
2508,CM13_B1_CW28_M8,bye
2509,F04_B3_CW16_M6,as
2510,F04_B2_UW40_M7,NA
2511,CM13_B2_LS_M8,ciara
2512,CM13_B3_CW49_M3,if
2513,M14_B3_CW9_M5,NA
2514,CM13_B3_UW68_M5,episode
2515,M16_B1_CW92_M7,daddy
2516,M14_B3_CW42_M7,and
2517,M14_B1_UW76_M3,hulk
2518,M14_B1_UW29_M6,casualties
2519,F04_B2_UW13_M7,unusual
2520,CM13_B2_UW24_M6,aloft
2521,CM13_B3_CW58_M6,these
2522,M16_B3_UW62_M7,choking
2523,M16_B1_CW42_M6,NA
2524,M14_B2_UW33_M8,approach astound astound
2525,F04_B1_UW83_M7,tree
2526,F04_B1_C4_M7,enter
2527,F04_B1_UW43_M3,jackdaws
2528,CM13_B1_UW72_M8,gouged
2529,F04_B1_CW45_M5,cheap
2530,F04_B1_CW71_M3,right
2531,F04_B1_UW70_M5,futurity
2532,CM13_B1_UW91_M7,wagon
2533,F04_B3_UW97_M7,watch
2534,M14_B2_CW82_M8,water
2535,M16_B2_UW68_M8,NA
2536,CM13_B1_CW9_M8,that
2537,CM13_B2_CW39_M3,zedd
2538,M16_B2_CW23_M7,NA
2539,CM13_B3_CW33_M7,NA
2540,CM13_B3_UW78_M6,newfound
2541,M16_B1_CW88_M5,NA
2542,M16_B2_UW85_M7,long shoes
2543,M14_B1_LQ_M7,quebec
2544,M16_B2_LK_M6,k-love
2545,CM13_B3_UW56_M3,pacsafe
2546,CM13_B3_CW96_M5,made
2547,CM13_B3_UW41_M8,yale
2548,CM13_B1_UW91_M8,wagon
2549,CM13_B2_CW51_M6,NA
2550,M14_B2_D0_M3,0
2551,CM13_B3_CW80_M6,van
2552,F04_B2_UW95_M8,tank top
2553,CM13_B2_UW43_M7,battleship
2554,M14_B3_UW46_M3,southeastern way
2555,M16_B3_C16_M3,i'm bored
2556,CM13_B3_UW29_M7,sawyer
2557,M14_B1_CW15_M3,ar
2558,CM13_B1_UW64_M3,choice
2559,M16_B1_C12_M5,hunting
2560,F04_B3_CW92_M8,day
2561,F04_B1_CW92_M8,gay
2562,CM13_B2_CW66_M7,into
2563,M16_B3_C6_M6,escape
2564,CM13_B2_LM_M7,mike
2565,F04_B1_UW73_M3,goulash
2566,M16_B3_C17_M6,don't worry
2567,CM13_B3_CW70_M5,more
2568,M16_B3_CW66_M5,into
2569,M14_B2_CW65_M6,ham
2570,F04_B1_LE_M6,echo
2571,M16_B1_LN_M8,snorunt
2572,CM13_B1_UW29_M6,casualties
2573,M14_B2_LW_M3,whiskey
2574,CM13_B2_UW45_M6,ali green
2575,CM13_B1_CW41_M5,use
2576,F04_B3_UW50_M8,i need a drink
2577,M14_B3_CW49_M5,if
2578,CM13_B1_D9_M8,9
2579,M14_B2_UW34_M8,astound
2580,M14_B1_UW96_M5,scissors
2581,CM13_B1_C13_M5,paste
2582,M14_B1_CW16_M8,NA
2583,M14_B2_CW39_M3,sad
2584,F04_B2_CW40_M8,there
2585,M16_B1_UW20_M6,NA
2586,CM13_B2_CW98_M5,part
2587,M14_B3_CW29_M7,NA
2588,CM13_B3_UW66_M3,cushing
2589,M14_B2_CW13_M3,4
2590,CM13_B3_UW26_M6,resound
2591,F04_B2_UW72_M6,conversion
2592,M16_B3_UW100_M7,NA
2593,CM13_B1_CW30_M6,but
2594,CM13_B1_CW47_M6,how
2595,F04_B2_UW30_M7,apothecary
2596,CM13_B2_UW5_M5,reunited
2597,M14_B3_LF_M3,foxtrot
2598,M16_B1_LZ_M5,NA
2599,F04_B3_CW63_M7,make
2600,CM13_B1_CW67_M7,time
2601,M16_B3_UW87_M3,gohan
2602,M16_B2_CW20_M6,NA
2603,CM13_B2_UW15_M8,abbreviated
2604,M14_B1_UW79_M7,joseph
2605,CM13_B1_CW64_M5,like
2606,M14_B1_C4_M8,enter
2607,M14_B2_CW89_M7,find
2608,CM13_B1_UW77_M8,immovable
2609,F04_B3_UW85_M3,flowers
2610,M16_B1_CW43_M6,each
2611,M16_B1_UW66_M3,cobblestone
2612,M16_B2_UW20_M6,insulation
2613,M16_B1_UW63_M3,cell phone
2614,CM13_B3_CW92_M3,day
2615,M14_B3_CW43_M8,each
2616,F04_B2_UW44_M7,NA
2617,CM13_B2_UW26_M6,although
2618,CM13_B2_CW96_M5,made
2619,CM13_B3_C17_M6,downward
2620,F04_B1_C16_M7,aboard
2621,CM13_B1_UW17_M3,pennsylvania
2622,CM13_B2_LY_M8,yankee
2623,M16_B2_UW2_M3,needlepoint
2624,F04_B3_LB_M3,bravo
2625,M16_B2_C11_M7,program
2626,CM13_B3_UW79_M5,pow wow
2627,M16_B2_CW46_M7,dill
2628,M14_B1_CW50_M3,well
2629,CM13_B2_CW37_M7,your
2630,CM13_B2_CW95_M6,come
2631,F04_B3_UW39_M7,NA
2632,M14_B1_LM_M6,mike
2633,CM13_B2_CW55_M7,many
2634,CM13_B1_CW84_M6,call
2635,CM13_B2_UW12_M5,toothache
2636,M16_B1_CW83_M7,NA
2637,CM13_B3_UW50_M7,exaggerate
2638,M14_B2_C4_M8,enter
2639,M16_B3_CW81_M6,first
2640,F04_B3_LK_M7,keto
2641,CM13_B1_LB_M5,bravo
2642,M16_B3_CW22_M5,NA
2643,CM13_B1_UW75_M5,haranguing
2644,M14_B3_D2_M3,2
2645,CM13_B3_UW46_M6,southeastern
2646,CM13_B2_UW61_M6,buffoon
2647,CM13_B3_CW24_M7,have
2648,CM13_B2_CW69_M3,look
2649,M14_B1_CW13_M7,4
2650,M16_B3_LI_M3,india
2651,M14_B1_UW46_M8,mustache
2652,F04_B3_LX_M8,x-ray
2653,M16_B1_CW46_M5,do
2654,F04_B3_UW37_M8,toil
2655,CM13_B1_LA_M7,alpha
2656,M14_B1_UW44_M8,journalism
2657,M14_B3_CW70_M6,more
2658,F04_B2_CW58_M6,NA
2659,CM13_B3_CW22_M5,b
2660,M16_B3_CW13_M3,4
2661,CM13_B2_C11_M6,paragraph
2662,CM13_B3_CW40_M7,there
2663,F04_B1_CW69_M5,NA
2664,F04_B1_UW42_M7,inquire
2665,CM13_B1_LI_M8,india
2666,F04_B2_UW31_M3,appreciable
2667,F04_B1_CW92_M3,gay
2668,F04_B3_CW35_M3,NA
2669,CM13_B3_UW63_M7,clergyman
2670,CM13_B1_CW26_M3,or
2671,M16_B1_UW12_M6,giggled
2672,CM13_B1_UW20_M5,how to say
2673,CM13_B1_UW71_M6,gigantic
2674,M14_B2_LI_M3,india
2675,M14_B1_C8_M6,control
2676,CM13_B3_UW21_M3,timeshare
